,text,onset,offset
883,fleur,288.9,289.28
884,est,289.28,289.44
885,éphémère,289.44,290.18
886,,290.18,290.48
887,se,290.48,290.71
888,dit,290.71,290.94
889,le,290.94,291.03
890,petit,291.03,291.31
891,prince,291.31,291.83
892,,291.83,292.41790212506896
893,et,292.41790212506896,292.51551300629575
894,,292.51551300629575,292.550155969653
895,elle,292.550155969653,292.69
896,n',292.69,292.72
897,a,292.72,292.87
898,que,292.87,293.2
899,quatre,293.2,293.44
900,épines,293.44,293.8
901,pour,293.8,293.92
902,se,293.92,294.07
903,défendre,294.07,294.6
904,contre,294.6,294.95
905,le,294.95,295.06
906,monde,295.06,295.37
907,,295.37,296.07
908,Et,296.07,296.14
909,je,296.14,296.26
910,l',296.26,296.29
911,ai,296.29,296.42
912,laissée,296.42,296.79
913,toute,296.79,297.21
914,seule,297.21,297.51
915,chez,297.51,297.75
916,moi,297.75,298.05
917,,298.05,299.31
918,Ce,299.31,299.51
919,fut,299.51,299.77
920,là,299.77,299.92
921,son,299.92,300.18
922,premier,300.18,300.68
923,mouvement,300.68,301.18
924,de,301.18,301.31
925,regret,301.31,301.77
926,,301.77,302.48
927,Mais,302.48,302.77
928,il,302.77,302.83
929,reprit,302.83,303.17
930,courage,303.17,303.85
931,,303.85,304.53
932,«Que,304.53,304.74
933,me,304.74,304.84
934,,304.84,304.91
935,conseillez,304.91,305.35
936,-vous,305.35,305.49
937,d',305.49,305.55
938,aller,305.55,305.77
939,visiter,305.77,306.38
940,,306.38,306.74
941,demanda,306.74,307.19
942,-t,307.19,307.32
943,-il,307.32,307.63
944,,307.63,308.43
945,La,308.43,308.7
946,planète,308.7,309.32
947,Terre,309.32,309.78
948,,309.78,310.04
949,lui,310.04,310.24
950,répondit,310.24,310.7
951,le,310.7,310.81
952,géographe,310.81,311.49
953,,311.49,312.17
954,Elle,312.17,312.27
955,a,312.27,312.3738616048429
956,,312.3738616048429,312.42
957,une,312.42,312.57
958,bonne,312.57,312.84
959,réputation,312.84,313.58
960,,313.58,314.7
961,Et,314.7,314.89
962,le,314.89,314.93
963,petit,314.93,315.24
964,prince,315.24,315.56
965,,315.56,315.68
966,s',315.68,315.72
967,en,315.72,315.82
968,fut,315.82,316.17
969,,316.17,316.41
970,songeant,316.41,316.96
971,à,316.96,317.05
972,sa,317.05,317.22
973,fleur,317.22,317.69
974,,317.69,321.32
975,la,321.32,321.37
976,,321.37,321.46
977,septième,321.46,321.91
978,,321.91,321.99
979,planète,321.99,322.4
980,,322.4,322.57
981,fut,322.57,322.78
982,,322.78,322.84
983,donc,322.84,323.19
984,la,323.19,323.43
985,Terre,323.43,323.99
986,,323.99,324.69
987,La,324.69,324.88
988,Terre,324.88,325.27
989,n',325.27,325.3
990,est,325.3,325.46
991,pas,325.46,325.7
992,une,325.7,325.81
993,planète,325.81,326.19
994,quelconque,326.19,326.84
995,,326.84,327.25
996,On,327.25,327.39
997,y,327.39,327.55
998,compte,327.55,327.97
999,,327.97,328.05
1000,cent,328.05,328.43
1001,,328.43,328.47
1002,onze,328.47,328.76
1003,rois,328.76,329.07
1004,,329.07,329.47
1005,en,329.47,329.62
1006,n',329.62,329.71
1007,oubliant,329.71,330.11
1008,pas,330.11,330.4
1009,bien,330.4,330.62
1010,sûr,330.62,331.09
1011,,331.09,331.23
1012,les,331.23,331.38
1013,rois,331.38,331.6
1014,nègres,331.6,332.08
1015,,332.08,332.62
1016,sept,332.62,333.0
1017,mille,333.0,333.28
1018,géographes,333.28,334.08
1019,,334.08,334.32
1020,neuf,334.32,334.68
1021,cent,334.68,334.93
1022,mille,334.93,335.17
1023,businessmen,335.17,336.01
1024,,336.01,336.54
1025,sept,336.54,336.87
1026,millions,336.87,337.26
1027,et,337.26,337.34
1028,demi,337.34,337.66
1029,d',337.66,337.72
1030,ivrognes,337.72,338.36
1031,,338.36,338.81
1032,trois,338.81,339.1
1033,cent,339.1,339.49
1034,onze,339.49,339.77
1035,millions,339.77,340.16
1036,de,340.16,340.32
1037,vaniteux,340.32,340.98
1038,,340.98,341.27
1039,c',341.27,341.34
1040,est,341.34,341.48
1041,-à,341.48,341.58
1042,-dire,341.58,341.87
1043,environ,341.87,342.56
1044,deux,342.56,342.9
1045,milliards,342.9,343.56
1046,de,343.56,343.68
1047,grandes,343.68,343.93
1048,,343.93,343.98
1049,personnes,343.98,344.65
1050,,344.65,345.73
1051,Pour,345.73,345.9
1052,vous,345.9,346.03
1053,donner,346.03,346.46
1054,une,346.46,346.54
1055,idée,346.54,346.89
1056,des,346.89,347.03
1057,dimensions,347.03,347.63
1058,de,347.63,347.73
1059,la,347.73,347.91
1060,Terre,347.91,348.39
1061,,348.39,348.74
1062,je,348.74,348.96
1063,vous,348.96,349.1
1064,dirai,349.1,349.56
1065,qu',349.56,349.67
1066,avant,349.67,349.97
1067,l',349.97,350.05
1068,invention,350.05,350.55
1069,de,350.55,350.67
1070,l',350.67,350.7
1071,électricité,350.7,351.57
1072,,351.57,351.85
1073,on,351.85,352.08
1074,y,352.08,352.15
1075,devait,352.15,352.55
1076,entretenir,352.55,353.35
1077,,353.35,353.7
1078,sur,353.7,353.99
1079,l',353.99,354.07
1080,ensemble,354.07,354.65
1081,des,354.65,354.79
1082,six,354.79,355.04
